237,164,237,207,312,164,312,207,-154,-139,-154,-14,-55,-139,-55,-14,298.823,
210,148,210,207,306,148,306,207,-127,-123,-127,-14,-49,-123,-49,-14,255.172,
195,138,195,208,310,138,310,208,-112,-113,-112,-15,-53,-113,-53,-15,231.646,
180,126,180,208,305,126,305,208,-97,-101,-97,-15,-48,-101,-48,-15,204.326,
169,117,169,208,293,117,293,208,-86,-92,-86,-15,-36,-92,-36,-15,182.321,
157,85,157,204,272,85,272,204,-74,-60,-74,-11,-15,-60,-15,-11,136.007,
228,73,228,178,316,73,316,178,-145,-48,-145,15,-59,-48,-59,15,224.419,
256,52,256,138,316,52,316,138,-173,-27,-173,55,-59,-27,-59,55,260.427,
249,85,249,149,307,85,307,149,-166,-60,-166,44,-50,-60,-50,44,258.356,
238,135,238,193,286,135,286,193,-155,-110,-155,0,-29,-110,-29,0,270.353,
244,186,244,208,292,186,292,208,-161,-161,-161,-15,-35,-161,-35,-15,324.244,
272,111,272,192,316,111,316,192,-189,-86,-189,1,-59,-86,-59,1,299.526,
257,96,257,171,316,96,316,171,-174,-71,-174,22,-59,-71,-59,22,273.128,
245,86,245,161,312,86,312,161,-162,-61,-162,32,-55,-61,-55,32,252.941,
239,85,239,159,305,85,305,159,-156,-60,-156,34,-48,-60,-48,34,243.582,
238,84,238,157,305,84,305,157,-155,-59,-155,36,-48,-59,-48,36,242.099,
248,90,248,168,315,90,315,168,-165,-65,-165,25,-58,-65,-58,25,258.629,
218,109,218,186,286,109,286,186,-135,-84,-135,7,-29,-84,-29,7,226.83,
235,117,235,194,306,117,306,194,-152,-92,-152,-1,-49,-92,-49,-1,256.004,
245,90,245,169,315,90,315,169,-162,-65,-162,24,-58,-65,-58,24,254.712,
202,27,202,106,281,27,281,106,-119,-2,-119,87,-24,-2,-24,87,190.984,
188,0,188,74,270,0,270,74,-105,25,-105,119,-13,25,-13,119,193.985,
242,6,242,150,316,6,316,150,-159,19,-159,43,-59,19,-59,43,237.937,
248,42,248,183,316,42,316,183,-165,-17,-165,10,-59,-17,-59,10,242.093,
204,26,204,166,316,26,316,166,-121,-1,-121,27,-59,-1,-59,27,183.014,
188,79,188,198,302,79,302,198,-105,-54,-105,-5,-45,-54,-45,-5,173.009,
193,104,193,207,299,104,299,207,-110,-79,-110,-14,-42,-79,-42,-14,196.576,
199,117,199,207,304,117,304,207,-116,-92,-116,-14,-47,-92,-47,-14,215.047,
201,130,201,208,310,130,310,208,-118,-105,-118,-15,-53,-105,-53,-15,230.07,
204,132,204,208,312,132,312,208,-121,-107,-121,-15,-55,-107,-55,-15,235.436,
204,134,204,208,311,134,311,208,-121,-109,-121,-15,-54,-109,-54,-15,237.034,
202,134,202,208,310,134,310,208,-119,-109,-119,-15,-53,-109,-53,-15,234.772,
196,129,196,208,307,129,307,208,-113,-104,-113,-15,-50,-104,-50,-15,223.372,
195,127,195,207,305,127,305,207,-112,-102,-112,-14,-48,-102,-48,-14,219.991,
197,134,197,208,304,134,304,208,-114,-109,-114,-15,-47,-109,-47,-15,228.447,
200,156,200,208,308,156,308,208,-117,-131,-117,-15,-51,-131,-51,-15,254.02,
200,164,200,207,304,164,304,207,-117,-139,-117,-14,-47,-139,-47,-14,261.582,
193,163,193,207,304,163,304,207,-110,-138,-110,-14,-47,-138,-47,-14,254.348,
189,163,189,207,302,163,302,207,-106,-138,-106,-14,-45,-138,-45,-14,250.561,
191,170,191,208,302,170,302,208,-108,-145,-108,-15,-45,-145,-45,-15,260.054,
191,175,191,208,299,175,299,208,-108,-150,-108,-15,-42,-150,-42,-15,265.174,
186,175,186,208,299,175,299,208,-103,-150,-103,-15,-42,-150,-42,-15,261.165,
179,175,179,208,294,175,294,208,-96,-150,-96,-15,-37,-150,-37,-15,255.002,
173,168,173,208,291,168,291,208,-90,-143,-90,-15,-34,-143,-34,-15,241.824,
164,153,164,208,292,153,292,208,-81,-128,-81,-15,-35,-128,-35,-15,217.578,
151,127,151,208,283,127,283,208,-68,-102,-68,-15,-26,-102,-26,-15,175.946,
142,101,142,208,278,101,278,208,-59,-76,-59,-15,-21,-76,-21,-15,138.492,
137,84,137,208,279,84,279,208,-54,-59,-54,-15,-22,-59,-22,-15,116.202,
134,70,134,206,280,70,280,206,-51,-45,-51,-13,-23,-45,-23,-13,99.7497,
130,55,130,199,281,55,281,199,-47,-30,-47,-6,-24,-30,-24,-6,82.6438,
128,47,128,197,282,47,282,197,-45,-22,-45,-4,-25,-22,-25,-4,75.2263,
127,35,127,187,283,35,283,187,-44,-10,-44,6,-26,-10,-26,6,69.1665,
124,22,124,180,286,22,286,180,-41,3,-41,13,-29,3,-29,13,66.2571,
119,0,119,157,290,0,290,157,-36,25,-36,36,-33,25,-33,36,78.9113,
115,0,115,125,292,0,292,125,-32,25,-32,68,-35,25,-35,68,95.6399,
107,0,107,88,299,0,299,88,-24,25,-24,105,-42,25,-42,105,123.252,
295,141,295,195,316,141,316,195,-212,-116,-212,-2,-59,-116,-59,-2,346.821,
263,51,263,118,316,51,316,118,-180,-26,-180,75,-59,-26,-59,75,274.332,
213,21,213,99,282,21,282,99,-130,4,-130,94,-25,4,-25,94,208.07,
219,32,219,110,294,32,294,110,-136,-7,-136,83,-37,-7,-37,83,212.951,
240,40,240,127,316,40,316,127,-157,-15,-157,66,-59,-15,-59,66,239.969,
235,47,235,141,314,47,314,141,-152,-22,-152,52,-57,-22,-57,52,230.497,
170,76,170,154,250,76,250,154,-87,-51,-87,39,7,-51,7,39,148.02,
165,74,165,151,244,74,244,151,-82,-49,-82,42,13,-49,13,42,142.067,
123,41,123,106,194,41,194,106,-40,-16,-40,87,63,-16,63,87,123.491,
194,33,194,119,277,33,277,119,-111,-8,-111,74,-20,-8,-20,74,175.06,
210,91,210,166,279,91,279,166,-127,-66,-127,27,-22,-66,-22,27,205.385,
203,111,203,179,269,111,269,179,-120,-86,-120,14,-12,-86,-12,14,209.6,
198,117,198,183,261,117,261,183,-115,-92,-115,10,-4,-92,-4,10,208.552,
192,115,192,181,255,115,255,181,-109,-90,-109,12,2,-90,2,12,200.275,
187,107,187,177,253,107,253,177,-104,-82,-104,16,4,-82,4,16,188.021,
180,104,180,178,253,104,253,178,-97,-79,-97,15,4,-79,4,15,177.598,
175,105,175,185,252,105,252,185,-92,-80,-92,8,5,-80,5,8,172.676,
164,106,164,190,249,106,249,190,-81,-81,-81,3,8,-81,8,3,162.225,
156,113,156,203,246,113,246,203,-73,-88,-73,-10,11,-88,11,-10,162.379,
146,123,146,208,247,123,247,208,-63,-98,-63,-15,10,-98,10,-15,165.744,
135,139,135,208,245,139,245,208,-52,-114,-52,-15,12,-114,12,-15,178.239,
126,155,126,208,246,155,246,208,-43,-130,-43,-15,11,-130,11,-15,194.535,
126,172,126,208,243,172,243,208,-43,-147,-43,-15,14,-147,14,-15,217.571,
196,177,196,208,315,177,315,208,-113,-152,-113,-15,-58,-152,-58,-15,274.472,
181,171,181,208,309,171,309,208,-98,-146,-98,-15,-52,-146,-52,-15,254.498,
162,143,162,208,305,143,305,208,-79,-118,-79,-15,-48,-118,-48,-15,207.024,
161,137,161,208,299,137,299,208,-78,-112,-78,-15,-42,-112,-42,-15,198.104,
151,138,151,208,281,138,281,208,-68,-113,-68,-15,-24,-113,-24,-15,188.645,
143,133,143,208,266,133,266,208,-60,-108,-60,-15,-9,-108,-9,-15,175.596,
127,128,127,208,242,128,242,208,-44,-103,-44,-15,15,-103,15,-15,159.812,
119,139,119,208,220,139,220,208,-36,-114,-36,-15,37,-114,37,-15,173.718,
154,155,154,208,248,155,248,208,-71,-130,-71,-15,9,-130,9,-15,210.209,
172,175,172,208,250,175,250,208,-89,-150,-89,-15,7,-150,7,-15,247.217,
213,183,213,208,275,183,275,208,-130,-158,-130,-15,-18,-158,-18,-15,290.305,
258,184,258,208,312,184,312,208,-175,-159,-175,-15,-55,-159,-55,-15,339.208,
